Year,Fatal/non-fatal,Sex,Nationality,Value
1996,Total,Both,Foreign,18
1997,Total,Both,Foreign,20
1998,Total,Both,Foreign,21
1999,Total,Both,Foreign,39
2000,Total,Both,Foreign,51
2001,Total,Both,Foreign,49
2002,Total,Both,Foreign,45
2003,Total,Both,Foreign,101
2004,Total,Both,Foreign,506
2005,Total,Both,Foreign,412
2006,Total,Both,Foreign,509
2007,Total,Both,Foreign,633
2008,Total,Both,Foreign,414
2009,Total,Both,Foreign,179
2010,Total,Both,Foreign,154
2011,Total,Both,Foreign,171
2012,Total,Both,Foreign,186
2013,Total,Both,Foreign,250
2014,Total,Both,Foreign,278
2015,Total,Both,Foreign,289
2016,Total,Both,Foreign,368
2017,Total,Both,Foreign,435
2018,Total,Both,Foreign,550
2019,Total,Both,Foreign,556
2020,Total,Both,Foreign,402
2021,Total,Both,Foreign,467
2022,Total,Both,Foreign,585
1980,Fatal,Both,Foreign,0
1981,Fatal,Both,Foreign,0
1982,Fatal,Both,Foreign,0
1983,Fatal,Both,Foreign,0
1984,Fatal,Both,Foreign,0
1985,Fatal,Both,Foreign,0
1986,Fatal,Both,Foreign,1
1987,Fatal,Both,Foreign,0
1988,Fatal,Both,Foreign,0
1989,Fatal,Both,Foreign,0
1990,Fatal,Both,Foreign,0
1991,Fatal,Both,Foreign,0
1992,Fatal,Both,Foreign,0
1993,Fatal,Both,Foreign,0
1994,Fatal,Both,Foreign,0
1995,Fatal,Both,Foreign,0
1996,Fatal,Both,Foreign,0
1997,Fatal,Both,Foreign,0
1998,Fatal,Both,Foreign,0
1999,Fatal,Both,Foreign,0
2000,Fatal,Both,Foreign,0
2001,Fatal,Both,Foreign,0
2002,Fatal,Both,Foreign,0
2003,Fatal,Both,Foreign,0
2004,Fatal,Both,Foreign,0
2005,Fatal,Both,Foreign,0
2006,Fatal,Both,Foreign,1
2007,Fatal,Both,Foreign,2
2008,Fatal,Both,Foreign,3
2009,Fatal,Both,Foreign,0
2010,Fatal,Both,Foreign,1
2011,Fatal,Both,Foreign,0
2012,Fatal,Both,Foreign,0
2013,Fatal,Both,Foreign,0
2014,Fatal,Both,Foreign,1
2015,Fatal,Both,Foreign,0
2016,Fatal,Both,Foreign,0
2017,Fatal,Both,Foreign,1
2018,Fatal,Both,Foreign,1
2019,Fatal,Both,Foreign,1
2020,Fatal,Both,Foreign,1
2021,Fatal,Both,Foreign,1
2022,Fatal,Both,Foreign,0
1980,Fatal,Male,Foreign,0
1981,Fatal,Male,Foreign,0
1982,Fatal,Male,Foreign,0
1983,Fatal,Male,Foreign,0
1984,Fatal,Male,Foreign,0
1985,Fatal,Male,Foreign,0
1986,Fatal,Male,Foreign,1
1987,Fatal,Male,Foreign,0
1988,Fatal,Male,Foreign,0
1989,Fatal,Male,Foreign,0
1990,Fatal,Male,Foreign,0
1991,Fatal,Male,Foreign,0
1992,Fatal,Male,Foreign,0
1993,Fatal,Male,Foreign,0
1994,Fatal,Male,Foreign,0
1995,Fatal,Male,Foreign,0
1996,Fatal,Male,Foreign,0
1997,Fatal,Male,Foreign,0
1998,Fatal,Male,Foreign,0
1999,Fatal,Male,Foreign,0
2000,Fatal,Male,Foreign,0
2001,Fatal,Male,Foreign,0
2002,Fatal,Male,Foreign,0
2003,Fatal,Male,Foreign,0
2004,Fatal,Male,Foreign,0
2005,Fatal,Male,Foreign,0
2006,Fatal,Male,Foreign,1
2007,Fatal,Male,Foreign,2
2008,Fatal,Male,Foreign,3
2009,Fatal,Male,Foreign,0
2010,Fatal,Male,Foreign,1
2011,Fatal,Male,Foreign,0
2012,Fatal,Male,Foreign,0
2013,Fatal,Male,Foreign,0
2014,Fatal,Male,Foreign,0
2015,Fatal,Male,Foreign,0
2016,Fatal,Male,Foreign,0
2017,Fatal,Male,Foreign,1
2018,Fatal,Male,Foreign,1
2019,Fatal,Male,Foreign,1
2020,Fatal,Male,Foreign,1
2021,Fatal,Male,Foreign,1
2022,Fatal,Male,Foreign,0
1980,Fatal,Female,Foreign,0
1981,Fatal,Female,Foreign,0
1982,Fatal,Female,Foreign,0
1983,Fatal,Female,Foreign,0
1984,Fatal,Female,Foreign,0
1985,Fatal,Female,Foreign,0
1986,Fatal,Female,Foreign,0
1987,Fatal,Female,Foreign,0
1988,Fatal,Female,Foreign,0
1989,Fatal,Female,Foreign,0
1990,Fatal,Female,Foreign,0
1991,Fatal,Female,Foreign,0
1992,Fatal,Female,Foreign,0
1993,Fatal,Female,Foreign,0
1994,Fatal,Female,Foreign,0
1995,Fatal,Female,Foreign,0
1996,Fatal,Female,Foreign,0
1997,Fatal,Female,Foreign,0
1998,Fatal,Female,Foreign,0
1999,Fatal,Female,Foreign,0
2000,Fatal,Female,Foreign,0
2001,Fatal,Female,Foreign,0
2002,Fatal,Female,Foreign,0
2003,Fatal,Female,Foreign,0
2004,Fatal,Female,Foreign,0
2005,Fatal,Female,Foreign,0
2006,Fatal,Female,Foreign,0
2007,Fatal,Female,Foreign,0
2008,Fatal,Female,Foreign,0
2009,Fatal,Female,Foreign,0
2010,Fatal,Female,Foreign,0
2011,Fatal,Female,Foreign,0
2012,Fatal,Female,Foreign,0
2013,Fatal,Female,Foreign,0
2014,Fatal,Female,Foreign,1
2015,Fatal,Female,Foreign,0
2016,Fatal,Female,Foreign,0
2017,Fatal,Female,Foreign,0
2018,Fatal,Female,Foreign,0
2019,Fatal,Female,Foreign,0
2020,Fatal,Female,Foreign,0
2021,Fatal,Female,Foreign,0
2022,Fatal,Female,Foreign,0
1980,non-fatal,Male,Foreign,0
1981,non-fatal,Male,Foreign,0
1982,non-fatal,Male,Foreign,0
1983,non-fatal,Male,Foreign,0
1984,non-fatal,Male,Foreign,4
1985,non-fatal,Male,Foreign,5
1986,non-fatal,Male,Foreign,5
1987,non-fatal,Male,Foreign,6
1988,non-fatal,Male,Foreign,10
1989,non-fatal,Male,Foreign,8
1990,non-fatal,Male,Foreign,15
1991,non-fatal,Male,Foreign,12
1992,non-fatal,Male,Foreign,10
1993,non-fatal,Male,Foreign,4
1994,non-fatal,Male,Foreign,6
1995,non-fatal,Male,Foreign,7
1996,non-fatal,Male,Foreign,12
1997,non-fatal,Male,Foreign,10
1998,non-fatal,Male,Foreign,13
1999,non-fatal,Male,Foreign,24
2000,non-fatal,Male,Foreign,47
2001,non-fatal,Male,Foreign,33
